,name,categories,lat,lng,zipcode
0,Michaels,Arts & Crafts Store,30.09901953,-81.71935424,32003
1,Kohl's,Department Store,30.099014,-81.720276,32003
2,Kirkland’s,Furniture / Home Store,30.09939699,-81.71884165,32003
3,Justice,Kids Store,30.09916859,-81.71859568,32003
4,MOJO Smokehouse BBQ & Blues,BBQ Joint,30.09813963,-81.71339654,32003
5,Mellow Mushroom,Pizza Place,30.098647,-81.713242,32003
6,Tijuana Flats,Tex-Mex Restaurant,30.10173243,-81.71872311,32003
7,The Fresh Market,Grocery Store,30.10107978,-81.71779984,32003
8,Chili's Grill & Bar,Tex-Mex Restaurant,30.10160664,-81.72038524,32003
9,Dollar Tree,Discount Store,30.09941844,-81.72090174,32003
10,LongHorn Steakhouse,Steakhouse,30.10175238,-81.71478346,32003
11,New Vision Theatres Fleming Island 12,Movie Theater,30.09819892,-81.71446431,32003
12,Maple Street Biscuit Company,Breakfast Spot,30.10077,-81.718177,32003
13,Your Pie Fleming Island,Pizza Place,30.10032489,-81.71166555,32003
14,Sweet Frog Frozen Yogurt,Frozen Yogurt Shop,30.10185531,-81.71397728,32003
15,Five Guys,Burger Joint,30.10190842,-81.71372465,32003
16,Chick-fil-A,Fast Food Restaurant,30.1017373,-81.7108993,32003
17,Your Pie,Pizza Place,30.09998,-81.71057,32003
18,Hurricane Grill & Wings,Sports Bar,30.09827634,-81.71323411,32003
19,Brick Oven Pizzeria & Gastropub,Italian Restaurant,30.09766228,-81.71228891,32003
20,Firehouse Subs,Sandwich Place,30.10182,-81.714148,32003
21,La Nopalera,Mexican Restaurant,30.10182755,-81.71346188,32003
22,Walgreens,Pharmacy,30.1018478,-81.712765,32003
23,Crazy Beans Coffee,Coffee Shop,30.100411,-81.710917,32003
24,Publix,Grocery Store,30.1039292,-81.7111218,32003
25,Panera Bread,Bakery,30.10331708,-81.70949981,32003
26,O'Charley's,American Restaurant,30.101651,-81.716101,32003
27,Starbucks,Coffee Shop,30.102768,-81.71113,32003
28,Jersey Mike's Subs,Sandwich Place,30.101771,-81.718811,32003
29,Ruby Tuesday,American Restaurant,30.10177997,-81.70944861,32003
30,Jimmy John's,Sandwich Place,30.10116833,-81.71874404,32003
31,Sushiya,Asian Restaurant,30.10086832,-81.71658744,32003
32,IHOP,Breakfast Spot,30.09693121,-81.7079161,32003
33,Grassroots Natural Market,Grocery Store,30.09875419,-81.71396418,32003
34,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,30.10106,-81.70957,32003
35,Winn-Dixie,Grocery Store,30.10062228,-81.71092649,32003
36,Steak 'n Shake,American Restaurant,30.101662,-81.71552,32003
37,ABC Fine Wine & Spirits,Liquor Store,30.096922,-81.70744,32003
38,Whataburger,Burger Joint,30.1010363,-81.70916949,32003
39,Starbucks,Coffee Shop,30.102118,-81.723564,32003
40,Discount Tire,Auto Garage,30.10109,-81.708569,32003
41,Great Clips,Salon / Barbershop,30.10025655,-81.71043639,32003
42,Shell,Gas Station,30.10168684,-81.71017706,32003
43,Karate America,Martial Arts Dojo,30.10109195,-81.71028405,32003
44,Supercuts,Salon / Barbershop,30.10101714,-81.71529253,32003
45,Redbox,Video Store,30.0952,-81.7138,32003
46,Subway,Sandwich Place,30.09766017,-81.7118362,32003
47,CVS pharmacy,Pharmacy,30.10194059,-81.71154117,32003
48,T-Mobile,Mobile Phone Shop,30.0999893,-81.7108219,32003
49,The UPS Store,Shipping Store,30.10404106,-81.71030849,32003
50,Hallmark,Gift Shop,30.10377117,-81.71057866,32003
51,GNC,Supplement Shop,30.10392729,-81.71036095,32003
52,Sally Beauty Supply,Cosmetics Shop,30.10341641,-81.71142998,32003
53,Redbox,Video Store,30.102237,-81.713324,32003
54,Moe's Southwest Grill,Mexican Restaurant,30.10293778,-81.71102525,32003
55,Wendy's,Fast Food Restaurant,30.102829,-81.712742,32003
56,Tropical Smoothie Cafe,Juice Bar,30.1036539,-81.7115983,32003
57,SUBWAY,Sandwich Place,30.10171597,-81.71034336,32003
58,Pizza Hut,Pizza Place,30.10378349,-81.71166703,32003
59,Domino's Pizza,Pizza Place,30.10302471,-81.71491385,32003
60,AT&T Store,Mobile Phone Shop,30.104079,-81.710493,32003
61,McDonald's,Fast Food Restaurant,30.102853,-81.7116858,32003
62,Papa Murphy's,Pizza Place,30.10195492,-81.714096,32003
63,Hot Wok,Chinese Restaurant,30.10098864,-81.71670661,32003
64,Pinch A Penny Pool Patio Spa,Miscellaneous Shop,30.10099,-81.716301,32003
65,Thunderbolt Park,Park,30.09196807,-81.71064246,32003
66,Barco-Newton Family YMCA,Gym,30.08229881,-81.71851451,32003
67,Planet Smoothie,Smoothie Shop,30.084778,-81.712802,32003
68,Target,Big Box Store,30.10403155,-81.70753615,32003
69,Mr.Chubby's Wings,Wings Joint,30.0811082,-81.7088645,32003
70,Whitey's Fish Camp,Seafood Restaurant,30.1006768,-81.74570727,32003
71,GameStop,Video Game Store,30.10170498,-81.70687737,32003
72,Clay County Soccer Club / Dennis Viollet Soccer Complex,Soccer Field,30.11693702,-81.723883,32003
73,Achieve Fitness,Gym,30.08108,-81.70884,32003
74,Dunkin',Donut Shop,30.11158247,-81.70436118,32003
75,Planet Fitness,Gym,30.10398415,-81.70898854,32003
76,Publix,Grocery Store,30.06970318,-81.70625787,32003
77,Fleming Island Golf Club,Golf Course,30.06944885,-81.71717039,32003
78,Massage Envy,Massage Studio,30.0702439,-81.706493,32003
79,European Wax Center,Health & Beauty Service,30.07003437,-81.70680127,32003
80,The Salvation Army Family Store,Thrift / Vintage Store,30.09993379,-81.75689341,32068
81,Mercury Moon,Bar,30.10043668,-81.74416855,32003
82,Dunkin',Donut Shop,30.07944257,-81.714653,32043
83,7-Eleven,Convenience Store,30.09990366,-81.75744027,32068
84,Circle K,Convenience Store,30.0686462,-81.7065786,32003
85,Fleming Island Plantation Splash Park,Pool,30.08004406,-81.71705446,32003
86,Domo Japanese Teppanyaki & Sushi Bar,Japanese Restaurant,30.10124561,-81.74269752,32003
87,Fleming Island Recreation Center,Playground,30.067443,-81.7170417,32003
88,Pat's Nursery,Garden Center,30.06626723,-81.7078998,32003
89,D'Fontana,Italian Restaurant,30.10005,-81.756112,32068
90,Asian Paradise,Chinese Restaurant,30.09916777,-81.75734612,32068
91,N.Y. Brick Oven Pizzeria,Pizza Place,30.10003106,-81.75735681,32068
92,Thrasher-Horne Center for the Arts,Music Venue,30.1175075,-81.7744452,32065
93,Texas Roadhouse,Steakhouse,30.154411,-81.748855,32073
94,Santioni's Ristorante,Italian Restaurant,30.13600268,-81.70175709,32003
95,Bob Dye Clay YMCA,Gym,30.13727731,-81.76282104,32065
96,Publix,Grocery Store,30.13866183,-81.77436305,32065
97,Academy Sports + Outdoors,Sporting Goods Shop,30.1479708,-81.75377369,32073
98,Starbucks,Coffee Shop,30.15000802,-81.75269448,32073
99,BJ's Wholesale Club,Mobile Phone Shop,30.15418027,-81.74977341,32073
100,Metro Diner,Diner,30.164316,-81.740673,32073
101,Walmart Neighborhood Market,Grocery Store,30.10080043,-81.77447685,32068
102,Shrimp Shack,Seafood Restaurant,30.15008071,-81.75411888,32073
103,Vito's Pizzeria,Pizza Place,30.13110153,-81.78370254,32065
104,Jeremiah's Italian Ice,Ice Cream Shop,30.14181271,-81.76687192,32065
105,LA Fitness of Orange Park,Gym,30.14781257,-81.75488342,32073
106,Dairy Queen,Fast Food Restaurant,30.16537512,-81.70685515,32073
107,La Nopalera,Mexican Restaurant,30.16427852,-81.73969016,32073
108,Jersey Mike's Subs,Sandwich Place,30.163109,-81.74808,32073
109,Wawa,Convenience Store,30.14932727,-81.7558846,32073
110,The Fresh Market,Grocery Store,30.13576858,-81.63190089,32223
111,Panera Bread,Bakery,30.1481783,-81.7559338,32073
112,Grumpy's,Diner,30.16533534,-81.71188736,32073
113,Julington Creek Fish Camp,Seafood Restaurant,30.13443476,-81.63205708,32223
114,Metro Diner,Diner,30.134712,-81.631531,32223
115,Crafty Crab,Seafood Restaurant,30.137745,-81.775925,32065
116,The Urban Bean Coffeehouse Cafe,Coffee Shop,30.16532441,-81.70080008,32073
117,Starbucks,Coffee Shop,30.12276864,-81.62468565,32259
118,Clark House Park,Park,30.16601151,-81.71584804,32073
119,Publix,Grocery Store,30.16354227,-81.74895622,32073
120,Sonny's BBQ,BBQ Joint,30.1641126,-81.73734431,32073
121,V Pizza,Pizza Place,30.13886015,-81.63204706,32223
122,Thai Cafe,Thai Restaurant,30.17547323,-81.70102825,32073
123,Winn-Dixie,Grocery Store,30.02251889,-81.70732856,32043
124,Whataburger,Burger Joint,30.17149495,-81.74621348,32073
125,Firehouse Subs,Sandwich Place,30.187381,-81.739968,32073
126,Loop Pizza Grill,Pizza Place,30.12036094,-81.62655167,32259
127,4 Rivers Smokehouse,Restaurant,30.18688875,-81.70274251,32073
128,Chick-fil-A,Fast Food Restaurant,30.1873579,-81.7375555,32073
129,Brucci's Pizza,Pizza Place,30.11667907,-81.62628959,32259
130,Camp Chowenwaw Park,Park,30.03921142,-81.71304952,32043
131,Lowe's Home Improvement,Hardware Store,30.1659507,-81.7453798,32073
132,Foo Wong Garden,Chinese Restaurant,30.17501145,-81.70174527,32073
133,Ronnie Van Zant Park,Park,30.04663108,-81.79570198,32043
134,Little Caesars Pizza,Pizza Place,30.14854594,-81.75513883,32073
135,Smoke City,Smoke Shop,30.16999065,-81.74617615,32073
136,Club Continental,Sports Club,30.16302183,-81.69581959,32073
137,Wawa,Convenience Store,30.113464,-81.81322,32068
138,Publix,Grocery Store,30.11929475,-81.62646242,32259
139,Jumperz Fun Center,Arcade,30.13435967,-81.77959877,32065
140,Kyodai Sushi Rock,Japanese Restaurant,30.1874621,-81.73223019,32073
141,Chick-fil-A,Fast Food Restaurant,30.184597,-81.734384,32073
142,Little Saigon,Vietnamese Restaurant,30.18699839,-81.74105898,32257
143,PetSmart,Pet Store,30.188832,-81.735429,32073
144,Broudy's Liquors,Liquor Store,30.12544946,-81.62549025,32259
145,Dolce's Pizza & Italian Restaurant,Pizza Place,30.14559732,-81.63331144,32223
146,Bath & Body Works,Cosmetics Shop,30.18476184,-81.73550217,32073
147,Books-A-Million,Bookstore,30.18512914,-81.73459315,32073
148,Alpine Groves Park,Park,30.08118665,-81.65363763,32259
149,Cracker Barrel Old Country Store,American Restaurant,30.1909173,-81.70189678,32073
150,Panera Bread,Bakery,30.1939284,-81.7384453,32244
151,Brewers Pizza,Pizza Place,30.18869182,-81.74035988,32073
152,Panera Bread,Bakery,30.17266928,-81.62536605,32223
153,World Market,Furniture / Home Store,30.1746217,-81.625373,32223
154,Picasso's Pizzeria,Pizza Place,30.18679274,-81.62672301,32257
155,Bonefish Grill,Seafood Restaurant,30.17581921,-81.629388,32223
156,Krispy Kreme Doughnuts,Donut Shop,30.1729,-81.62809,32223
157,Whole Foods Market,Grocery Store,30.18515015,-81.62589144,32257
158,Publix,Grocery Store,30.16672218,-81.63315648,32223
159,Trader Joe's,Grocery Store,30.17394191,-81.62978278,32223
160,Publix,Grocery Store,30.16116224,-81.8359511,32065
161,Publix,Grocery Store,30.11305426,-81.59035547,32259
162,Walmart Supercenter,Big Box Store,30.20666029,-81.76011311,32244
163,Tropical Smoothie Cafe,Café,30.19408,-81.623058,32257
164,Julington Creek Plantation Recreation Center,Gym,30.10131504,-81.58052952,32259
165,Enza's Italian Restaurant,Italian Restaurant,30.18591343,-81.62640702,32257
166,NEX Navy Exchange,Department Store,30.22188633,-81.69538225,32212
167,Chick-fil-A,Fast Food Restaurant,30.1897462,-81.6278897,32257
168,Akaya sushi,Japanese Restaurant,30.16134838,-81.8367307,32065
169,Publix,Grocery Store,30.19352932,-81.82545087,32222
170,Bailey's Powerhouse Gym,Gym,30.2044608,-81.6166343,32223
171,St Marys Seafood & More,Seafood Restaurant,30.17176305,-81.60386164,32257
172,ABC Fine Wine & Spirits,Liquor Store,30.205956,-81.617651,32257
173,Chick-fil-A,Fast Food Restaurant,30.1963565,-81.8282204,32222
174,EPIC Theatres at Oakleaf,Multiplex,30.19367327,-81.83430709,32222
175,Wicked Barley,Brewery,30.21836911,-81.61127802,32217
176,Hungry Howie's,Pizza Place,30.19981628,-81.6156,32257
177,Bruster's Real Ice Cream,Ice Cream Shop,30.19623,-81.82662379,32222
178,Trent's Seafood & Grill,Seafood Restaurant,30.23249814,-81.70058716,32244
179,Panera Bread,Bakery,30.196912,-81.826571,32222
180,Moe's Southwest Grill,Mexican Restaurant,30.19623379,-81.82739196,32222
181,Bailey's Powerhouse Gym,Gym,30.24711742,-81.74442329,32065
182,Tuptim Thai,Thai Restaurant,30.24323066,-81.69633801,32244
183,Firehouse Subs,Sandwich Place,30.235289,-81.697046,32244
184,Zoë's Kitchen,Mediterranean Restaurant,30.14135888,-81.54651441,32258
185,Moe's Southwest Grill,Mexican Restaurant,30.13870377,-81.54703982,32258
186,Epping Forest Yacht Club,Harbor / Marina,30.24836088,-81.6404295,32217
187,Panera Bread,Bakery,30.14085233,-81.55074455,32258
188,1st Place Sports,Sporting Goods Shop,30.21821076,-81.61494373,32217
189,Firehouse Subs,Sandwich Place,30.248013,-81.74646,32210
190,Publix,Grocery Store,30.1407775,-81.54941834,32258
191,Chick-fil-A,Fast Food Restaurant,30.189079,-81.552537,32256
192,Cold Stone Creamery,Ice Cream Shop,30.189481,-81.552455,32256
193,Aroma Corner,Coffee Shop,30.22128785,-81.59336069,32217
194,Planet Fitness,Gym,30.22257087,-81.59178763,32217
195,Publix,Grocery Store,30.05759724,-81.53141191,32259
196,Metro Diner,Diner,30.279185,-81.719493,32210
197,The French Pantry,French Restaurant,30.25791808,-81.61751747,32217
198,Newk's Cafe,Sandwich Place,30.194007,-81.550682,32256
199,Chick-fil-A,Fast Food Restaurant,30.2436262,-81.5990943,32256
200,4 Rivers Smokehouse,BBQ Joint,30.22026102,-81.56675898,32256
201,Metro Diner,Diner,30.218057,-81.554652,32256
202,Clara's Tidbits-Baymeadows,American Restaurant,30.2210973,-81.58044854,32256
203,Video Game Rescue,Video Game Store,30.27499769,-81.73108532,32210
204,Mizu Sushi & Grill,Sushi Restaurant,30.14310977,-81.52074235,32258
205,Al's Pizza,Pizza Place,30.22121027,-81.58659883,32256
206,Chamblin BookMine,Bookstore,30.27639102,-81.718944,32210
207,Avonlea Antiques and Interiors,Antique Shop,30.22207956,-81.58523777,32256
208,Five F(x),Dessert Shop,30.21831685,-81.55383415,32256
209,Publix,Grocery Store,30.26152675,-81.6286448,32217
210,Publix,Grocery Store,30.28010122,-81.7180761,32210
211,Veterans United Craft Brewery,Brewery,30.20087116,-81.55697465,32256
212,Bowl of Pho,Vietnamese Restaurant,30.22050433,-81.55365311,32256
213,Dogwood Park,Dog Run,30.23945574,-81.57737174,32256
214,HomeGoods,Furniture / Home Store,30.19230362,-81.54929616,32256
215,Tijuana Flats,Restaurant,30.2206751,-81.5536978,32256
216,Starbucks,Coffee Shop,30.24323113,-81.59860082,32256
217,ABC Fine Wine & Spirits,Liquor Store,30.221291,-81.574553,32256
218,Chick-fil-A,Fast Food Restaurant,30.2780114,-81.7195648,32210
219,Pinegrove Market and Deli,Deli / Bodega,30.29790519,-81.71362714,32205
220,Biscottis,Breakfast Spot,30.29704702,-81.70332193,32205
221,Sonny's BBQ,BBQ Joint,30.26784507,-81.61683083,32216
222,Cracker Barrel Old Country Store,American Restaurant,30.24840016,-81.59700326,32216
223,Mellow Mushroom,Pizza Place,30.296282,-81.70462,32205
224,The Loop Pizza Grill,American Restaurant,30.22014184,-81.55138345,32256
225,Metro Diner,Breakfast Spot,30.291141,-81.648784,32207
226,Freshfields Farm,Market,30.27132858,-81.6105217,32216
227,Zoës Kitchen,Mediterranean Restaurant,30.2400012,-81.38743135,32082
228,Papa John's Pizza,Pizza Place,30.24019308,-81.3877822,32082
229,GATE,Gas Station,30.24149486,-81.38814011,32082
230,Tootsies,Shoe Store,30.239757,-81.387405,32082
231,New York Butcher Shoppe,Butcher,30.2399246,-81.38768678,32082
232,Stellers Gallery,Art Gallery,30.24022001,-81.38788636,32082
233,Ponte Vedra Beach Inn And Club Bar,Bar,30.24208207,-81.37951676,32082
234,Table One,American Restaurant,30.23607035,-81.38657422,32082
235,The Spa at Ponte Vedra Inn & Club,Spa,30.23810932,-81.3787251,32082
236,Ponte Vedra Surf Club,Pool,30.23968668,-81.37765315,32082
237,Ponte Vedra Inn & Club,Hotel,30.24234452,-81.37908202,32082
238,Chase Bank,Bank,30.242406,-81.387947,32082
239,Circle K,Convenience Store,30.2448985,-81.3881856,32082
240,Underwoods,Jewelry Store,30.23601858,-81.38667314,32082
241,JJ's Liberty Bistro,French Restaurant,30.23590239,-81.38655065,32082
242,Dolphin Cove Skate Park,Park,30.23977122,-81.39107466,32082
243,The Golf Club Diner,American Restaurant,30.24280617,-81.38021483,32082
244,Ponte Vedra Lagoon Course,Golf Course,30.24294327,-81.38021483,32082
245,Dan's Seafood,Seafood Restaurant,30.24488389,-81.38806522,32082
246,Ponte Vedra Tennis Club,Tennis Court,30.24022682,-81.37890485,32082
247,The Beach House at Ponte Vedra Inn,Resort,30.241676,-81.378172,32082
248,The Gym at Ponte Vedra Inn & Club,Gym,30.23318452,-81.37972091,32082
249,modelcitizen,Boutique,30.23135398,-81.38565853,32082
250,Fifth Third Private Bank - Guthrie Culbertson,Business Service,30.248082,-81.385091,32082
251,Five Star Chem-Dry,Home Service,30.229986,-81.389328,32082
252,Ponte Vedra Beach,Beach,30.22753717,-81.38387622,32082
253,Sierra Grille,Mexican Restaurant,30.25391848,-81.38910368,32250
254,Trader Joe's,Grocery Store,30.25710365,-81.38982212,32250
255,First Watch,Breakfast Spot,30.255036,-81.390943,32250
256,World Market,Furniture / Home Store,30.25528616,-81.39602602,32250
257,South Jacksonville Beach,Beach,30.259166,-81.382289,32250
258,Broudy's Fine Wine and Spirits,Liquor Store,30.25408698,-81.38920524,32250
259,Sushi Palace,Japanese Restaurant,30.25389411,-81.39204485,32250
260,LongHorn Steakhouse,Steakhouse,30.25548822,-81.39337904,32250
261,Chick-fil-A,Fast Food Restaurant,30.2549652,-81.3915057,32250
262,Outback Steakhouse,Steakhouse,30.25854958,-81.38790867,32250
263,The Lodge & Club,Resort,30.21894,-81.37164,32082
264,Lil Wok,Chinese Restaurant,30.2272355,-81.38898951,32082
265,Publix,Grocery Store,30.25397137,-81.39207417,32250
266,Bed Bath & Beyond,Furniture / Home Store,30.25737363,-81.39375687,32250
267,Renna's Pizza,Pizza Place,30.25396878,-81.39138827,32250
268,Players Cafe,Breakfast Spot,30.22628401,-81.38797848,32082
269,Firehouse Subs,Sandwich Place,30.254255,-81.389093,32250
270,South Beach Park and Sunshine Playground,Park,30.26547567,-81.3954927,32250
271,Woodys BBQ,BBQ Joint,30.22662185,-81.38753486,32082
272,Winn-Dixie,Grocery Store,30.22661556,-81.38853423,32082
273,Bold Bean Coffee,Coffee Shop,30.26761441,-81.38868645,32250
274,Bonefish Grill,Seafood Restaurant,30.26784685,-81.38991813,32250
275,Hampton Jacksonville Beach,Hotel,30.25526994,-81.39782846,32250
276,Al's Pizza,Pizza Place,30.21375896,-81.38005035,32082
277,Nail Spa,Cosmetics Shop,30.25394457,-81.38893727,32250
278,"25th South, Jax Beach",Beach,30.26741698,-81.38818991,32250
279,Moe's Southwest Grill,Mexican Restaurant,30.26801234,-81.38959392,32250
280,Roy's Restaurant,Sushi Restaurant,30.26812769,-81.38887525,32250
281,Cruisers Grill,Burger Joint,30.26930247,-81.38911665,32250
282,Books-a-Million,Bookstore,30.25398734,-81.39278073,32250
283,Metro Diner,American Restaurant,30.204173,-81.381262,32082
284,Palm Valley Fish Camp,Seafood Restaurant,30.21027391,-81.40964648,32082
285,Caffe Andiamo,Italian Restaurant,30.20460362,-81.38242615,32082
286,Marsh Landing Country Club,Golf Course,30.24096156,-81.40661366,32082
287,Lulu's Waterfront Grill,Seafood Restaurant,30.21049187,-81.4097556,32082
288,Panera Bread,Bakery,30.26987,-81.388863,32250
289,Target,Big Box Store,30.2538106,-81.39093965,32250
290,PGA TOUR HQ,Office,30.20475189,-81.3935591,32082
291,Stein Mart,Department Store,30.25878084,-81.39032096,32250
292,Massage Envy - Jacksonville Beach,Spa,30.2582928,-81.3921086,32250
293,Nona Blue Modern Tavern,Restaurant,30.20472546,-81.38128528,32082
294,HomeGoods,Furniture / Home Store,30.2698754,-81.3901046,32250
295,GATE,Gas Station,30.26699492,-81.38890906,32250
296,Starbucks,Coffee Shop,30.25374339,-81.39098756,32250
297,Five Below,Discount Store,30.25815253,-81.3915779,32250
298,Cabana Beach Club,Beach,30.21709608,-81.37124149,32082
299,Publix,Grocery Store,30.20556436,-81.38237867,32082
300,Christy's Dream,Ice Cream Shop,30.205278,-81.38363,32082
301,Jax Beach 16th S,Beach,30.27353554,-81.38845002,32250
302,Jax Beach At South 15th Ave,Beach,30.27472055,-81.38533255,32250
303,Staples,Paper / Office Supplies Store,30.2570455,-81.3914183,32250
304,The UPS Store,Shipping Store,30.25822601,-81.39227736,32250
305,Hot Dog Hut,Hot Dog Joint,30.274839,-81.38860934,32250
306,ABC Fine Wine & Spirits,Liquor Store,30.204376,-81.382978,32082
